下列哪个选项是全国⼈⼤制定的教育类基本法  	['A. 《教师法》 ', 'B. 《教育法》 ', 'C. 《⾼等教育法》 ']	正确答案：B 	解释说明：《教育法》是全国⼈⼤制定的教育类基本法。（⻅书P137） 
⾼等教育学位制度创始于  	['A. 1980年2⽉12⽇ ', 'B. 1984年3⽉21⽇ ', 'C. 1984年2⽉12⽇ ', 'D. 1980年3⽉21⽇ ']	正确答案：A 	解释说明：⻅第41⻚。 
⾼等教育是⼈类的⼀种社会活动，在阶级社会⾥⾼等教育具有鲜明的  	['A. 客观性 ', 'B. 稳定性 ', 'C. 历史性 ', 'D. 阶级性 ']	正确答案：D 	解释说明：请仔细阅读教材第三章 
下列不是⾼等教育制度的特性的是  	['A. 客观性 ', 'B. 稳定性 ', 'C. 永久性 ', 'D. 强制性 ']	正确答案：C 	解释说明：请仔细阅读教材第三章 
由于政治、经济和⽂化的影响，中世纪产⽣的⼤学具有鲜明的特点。下列不属于中世纪⼤学特点的是  	['A. 宗教性 ', 'B. 科学性 ', 'C. 世俗性 ', 'D. ⾃治性 ']	正确答案：B 	解释说明：请仔细阅读教材第⼆章 
全⾯推进依法治校的指导思想和总体要求是在下列哪个⽂件中提出的  	['A. 《教育部关于加强依法治校⼯作的若⼲意⻅》 ', 'B. 《国家中⻓期教育改⾰和发展规划纲要（2010-2020年）》 ', 'C. 《全⾯推进依法治校实施纲要》 ', 'D. 《教育部关于加强教育法制建设的意⻅》 ']	正确答案：C 	解释说明：⻅第9⻚。 
供给⾼校课程活动、满⾜⾼校课程活动需要的⼀切，包括构成⾼校课程⽬标、课程内容的来源和保障课程活动的设备和材料指的是⾼等学校的  	['A. 教学资源 ', 'B. 课程资源 ', 'C. 教材 ', 'D. 教科书 ']	正确答案：B 	解释说明：请仔细阅读教材第五章 
1809年,威廉·冯·洪堡开始担任普鲁⼠教育⼤⾂，在他的领导下，德国⼤⼑阔斧地进⾏了⾼等教育改⾰，他的改⾰理念后被称为“洪堡理念”。下列不属于“洪堡理念”内容的是  	['A. 将科学研究作为主要职称 ', 'B. 教学与研究相统⼀ ', 'C. 提倡学术⾃由 ', 'D. 提倡宗教信仰 ']	正确答案：D 	解释说明：请仔细阅读教材第⼆章 
完善了⾼等教育法治建设，先后制定了《⾼等教育法》和《⾼等教育基本法》两部法律后，⾼等教育⾛上（）、（）的发展之路  	['A. 制度化，法制化 ', 'B. 法治化，规范化 ', 'C. 法制化，规范化 ', 'D. 制度化，法治化 ']	正确答案：D 	解释说明：⻅第32⻚。 
预防教育的形式多样，（）是指辅导员通过设⽴⽬标、制造正确舆论、宣传先进典型等⽅式，委婉含蓄地对⼤学⽣施加影响，使⼤学⽣潜移默化地受到教育，⾃觉规范⾃⼰的思想和⾏为的⽅法。  	['A. 明示法 ', 'B. 启迪法 ', 'C. 暗示法 ', 'D. 直接法 ']	正确答案：C 	解释说明：请仔细阅读教材第⼗章 
1950年颁布《⾼等学校暂⾏规定》，对学⽣进⾏⾰命的思想政治教育成为⾼等学校的  	['A. 根本任务 ', 'B. ⾸要任务 ', 'C. 引领指南 ', 'D. 发展⽅向 ']	正确答案：B 	解释说明：请仔细阅读教材第⼗章 
（ ）与科研⽔平是保持学校声望和地位的最核⼼元素，优秀的教师不仅能够吸引优秀的学⽣，教学相⻓、⽽且能够做出杰出的研究⼯作，取得重要的研究成果。  	['A. 教学质量 ', 'B. 研究⽔平 ', 'C. 个⼈素养 ', 'D. 师资⼒量 ']	正确答案：A 	解释说明：请仔细阅读教材第⼋章 
下列不属于国外⾼等教育对我国的启示的是  	['A. 经费投⼊国有化 ', 'B. 加强⽴法，保障师⽣合法权益 ', 'C. 机会平等与差别对待相结合 ', 'D. 经费投⼊法制化 ']	正确答案：A 	解释说明：⻅第28-29⻚。 
科学研究的评价不包括下列哪⼀项  	['A. 科研项⽬评价 ', 'B. 科研成果评价 ', 'C. 科研⼈员评价 ', 'D. 科研氛围评价 ']	正确答案：D 	解释说明：请仔细阅读教材第⼋章 
我国在1904年颁布的《奏定学堂章程》，确定了我国近代⾼等教育体系，将⾼等教育分为了三级。下列不属于《奏定学堂章程》所设置的⾼等教育三级体系的是  	['A. ⾼等学堂 ', 'B. 分科⼤学 ', 'C. 通儒院 ', 'D. 专⻔学院 ']	正确答案：D 	解释说明：请仔细阅读教材第⼆章 
学位评定委员会主席的任期为  	['A. ⼀⾄三年 ', 'B. ⼆⾄四年 ', 'C. ⼀⾄⼆年 ', 'D. ⼆⾄三年 ']	正确答案：D 	解释说明：⻅第45⻚。 
